timestamp,request_type,position,creative_type,kv_value
2022-03-08T02:45:01.405Z, static.video, static_iphone_320x480, video, mFSp43
2022-03-08T02:33:28.645Z, static.video, static_iphone_320x480, video, mFSp31
2022-03-08T02:27:33.515Z, static.video, static_iphone_320x480, video, mVp5
2022-03-08T02:20:38.794Z, static.video, static_iphone_320x480, video, mFSp122
2022-03-08T02:17:52.618Z, static.video, static_iphone_320x480, video, mVp5
2022-03-08T02:12:55.074Z, static.video, static_iphone_320x480, video, mFSp134
2022-03-08T02:09:13.103Z, static.video, static_iphone_320x480, static, mFSp122
2022-03-08T02:08:52.599Z, static.video, static_iphone_320x480, video, mVp10
2022-03-08T02:05:44.327Z, static.video, static_iphone_320x480, video, mFSp134
2022-03-08T02:00:54.093Z, static.video, static_iphone_320x480, video, mVp13
2022-03-08T01:51:40.134Z, static.video, static_iphone_320x480, video, mFSp34
2022-03-08T01:51:07.103Z, static.video, static_iphone_320x480, video, mFSp29
2022-03-08T01:43:16.666Z, static.video, interstitial, static, mFSp27
2022-03-08T01:43:02.936Z, static.video, static_iphone_320x480, video, mVp7
2022-03-08T01:42:39.875Z, static.video, static_iphone_320x480, video, mVp4
2022-03-08T01:41:04.002Z, static.video, interstitial, video, mVp12
2022-03-08T01:32:51.120Z, static.video, static_iphone_320x480, video, mFSp134
2022-03-08T01:30:31.322Z, static.video, static_iphone_320x480, video, mFSp20
2022-03-08T01:30:28.476Z, static.video, interstitial, static, mFSp25
2022-03-08T01:28:53.337Z, static.video, static_iphone_320x480, video, mVp9
2022-03-08T01:25:58.305Z, static.video, static_iphone_320x480, video, mFSp122
2022-03-08T01:24:37.359Z, static.video, static_iphone_320x480, video, mFSp103
2022-03-08T01:24:23.781Z, static.video, static_iphone_320x480, video, mVp4
2022-03-08T01:15:15.493Z, static.video, static_iphone_320x480, video, mVp12
2022-03-08T01:05:08.707Z, static.video, static_iphone_320x480, video, mFSp20
2022-03-08T01:01:12.793Z, static.video, static_iphone_320x480, video, mVp5
2022-03-08T00:52:37.335Z, static.video, static_iphone_320x480, video, mVp5
2022-03-08T00:50:35.063Z, static.video, interstitial, video, mFSp46
2022-03-08T00:42:55.041Z, static.video, static_iphone_320x480, video, mFSp122
2022-03-08T00:37:24.181Z, static.video, static_iphone_320x480, video, mVp7
2022-03-08T00:36:04.977Z, static.video, static_iphone_320x480, video, mVp22
2022-03-08T00:33:42.164Z, static.video, static_iphone_320x480, video, mVp4
2022-03-08T00:27:06.742Z, static.video, static_iphone_320x480, video, mFSp122
2022-03-08T00:26:28.768Z, static.video, static_iphone_320x480, video, mFSp63
2022-03-08T00:25:12.065Z, static.video, static_iphone_320x480, video, mVp5
2022-03-08T00:23:16.507Z, static.video, static_iphone_320x480, video, mVp7
2022-03-08T00:18:46.861Z, static.video, static_iphone_320x480, video, mFSp134
2022-03-08T00:18:34.908Z, static.video, static_iphone_320x480, video, mVp11
2022-03-08T00:14:23.955Z, static.video, static_iphone_320x480, video, mFSp24
2022-03-08T00:08:19.598Z, static.video, static_iphone_320x480, video, mVp5
2022-03-08T00:07:50.395Z, static.video, static_iphone_320x480, video, mFSp134
2022-03-08T00:04:33.272Z, static.video, static_iphone_320x480, video, mFSp122
2022-03-07T23:57:51.138Z, static.video, static_iphone_320x480, video, mFSp20
2022-03-07T23:57:17.871Z, static.video, static_iphone_320x480, video, mVp5
2022-03-07T23:56:56.026Z, static.video, static_iphone_320x480, static, mFSp23
2022-03-07T23:53:19.416Z, static.video, interstitial, video, mVp12
2022-03-07T23:37:09.427Z, static.video, interstitial, video, mVp34
2022-03-07T23:36:40.764Z, static.video, interstitial, video, mVp4
2022-03-07T23:34:11.034Z, static.video, interstitial, video, mVp4
2022-03-07T23:33:30.939Z, static.video, static_iphone_320x480, video, mVp4
2022-03-07T23:32:23.872Z, static.video, interstitial, static, mFSp20
2022-03-07T23:29:35.597Z, static.video, static_iphone_320x480, video, mVp13
2022-03-07T23:27:43.326Z, static.video, static_iphone_320x480, video, mFSp36
2022-03-07T23:19:09.286Z, static.video, interstitial, video, mVp74
2022-03-07T23:01:57.034Z, static.video, static_iphone_320x480, video, mVp4
2022-03-07T22:47:24.437Z, static.video, static_iphone_320x480, video, mVp4
2022-03-07T22:31:42.978Z, static.video, static_iphone_320x480, video, mFSp23
2022-03-07T22:29:08.455Z, static.video, static_iphone_320x480, video, mFSp21
2022-03-07T22:28:55.149Z, static.video, static_iphone_320x480, video, mFSp50
2022-03-07T22:27:03.009Z, static.video, static_iphone_320x480, video, mVp5
2022-03-07T22:21:17.964Z, static.video, interstitial, video, mVp5
2022-03-07T22:17:37.553Z, static.video, static_iphone_320x480, video, mFSp35
2022-03-07T22:11:14.936Z, static.video, static_iphone_320x480, video, mFSp20
2022-03-07T22:05:11.657Z, static.video, static_iphone_320x480, video, mFSp21
2022-03-07T22:05:07.425Z, static.video, static_iphone_320x480, video, mVp5
2022-03-07T22:04:41.669Z, static.video, static_iphone_320x480, video, mFSp56
2022-03-07T21:57:26.979Z, static.video, interstitial, static, mFSp49
2022-03-07T21:47:44.897Z, static.video, static_iphone_320x480, video, mVp14
2022-03-07T21:36:03.003Z, static.video, static_iphone_320x480, video, mVp4
2022-03-07T21:31:55.116Z, static.video, static_iphone_320x480, video, mVp4
2022-03-07T20:58:51.544Z, static.video, interstitial, video, mVp4
2022-03-07T20:45:26.256Z, static.video, static_iphone_320x480, video, mVp7
2022-03-07T20:36:26.611Z, static.video, static_iphone_320x480, video, mVp4
2022-03-07T20:35:42.354Z, static.video, static_iphone_320x480, video, mVp10
2022-03-07T20:07:12.344Z, static.video, static_iphone_320x480, static, mFSp25
2022-03-07T20:03:06.339Z, static.video, static_iphone_320x480, video, mVp7
2022-03-07T19:49:45.218Z, static.video, static_iphone_320x480, video, mVp27
2022-03-07T19:39:44.506Z, static.video, static_iphone_320x480, video, mVp25
2022-03-07T19:28:14.583Z, static.video, static_iphone_320x480, video, mFSp26
2022-03-07T19:14:55.950Z, static.video, static_iphone_320x480, video, mVp4
2022-03-07T19:13:31.991Z, static.video, static_iphone_320x480, video, mVp5
2022-03-07T19:11:06.814Z, static.video, static_iphone_320x480, video, mVp4
2022-03-07T19:10:22.594Z, static.video, static_iphone_320x480, static, mFSp48
